noise: 0.05
length: 10

TN,FN,TP,FP
87,13,30,4
90,10,46,6
90,10,44,7
88,12,57,4
83,17,46,7
88,12,51,6
86,14,44,1
83,17,44,3
85,15,43,3
90,10,63,1
89,11,56,5
84,16,56,5
86,14,32,1
85,15,45,1
94,6,48,2
89,11,56,5
89,11,49,3
85,15,43,4
89,11,55,10
82,18,56,6
87,13,49,5
88,12,43,7
87,13,46,2
89,11,50,3
87,13,47,5
83,17,55,4
84,16,43,3
86,14,40,7
90,10,35,3
83,17,56,3
84,16,63,3
82,18,56,5
87,13,45,6
83,17,41,5
90,10,37,2
85,15,49,6
83,17,44,2
86,14,54,3
85,15,49,0
86,14,50,7
84,16,48,7
89,11,47,1
88,12,55,4
87,13,49,5
83,17,46,9
90,10,53,5
81,19,48,3
83,17,45,5
88,12,45,6
95,5,60,7
87,13,43,4
79,21,42,2
87,13,41,3
80,20,52,2
81,19,56,3
90,10,45,9
87,13,54,8
90,10,47,7
89,11,63,4
87,13,48,2
88,12,51,4
91,9,59,2
87,13,61,10
85,15,57,2
85,15,32,2
89,11,51,4
90,10,40,6
87,13,52,3
85,15,40,3
85,15,43,8
79,21,65,3
81,19,44,5
89,11,53,10
87,13,48,5
84,16,41,6
88,12,45,3
82,18,44,2
87,13,44,2
80,20,42,2
80,20,52,3
80,20,46,3
90,10,49,3
87,13,45,3
88,12,43,2
84,16,52,3
85,15,49,4
85,15,34,2
82,18,47,4
88,12,39,3
85,15,55,11
85,15,65,9
90,10,46,4
85,15,50,7
80,20,48,5
87,13,50,2
83,17,34,6
88,12,40,7
88,12,35,2
88,12,49,9
83,17,61,8
91,9,51,7
93,7,47,3
90,10,47,4
90,10,43,3
85,15,38,5
85,15,45,6
88,12,35,3
91,9,53,2
83,17,53,6
90,10,42,10
86,14,52,2
87,13,39,7
88,12,52,5
90,10,49,9
93,7,60,4
91,9,51,3
85,15,55,2
86,14,42,8
83,17,51,1
85,15,48,6
89,11,49,4
90,10,47,3
89,11,42,6
88,12,57,5
84,16,60,8
88,12,56,4
86,14,51,3
86,14,46,5
86,14,58,4
89,11,63,5
86,14,53,2
